Item No.,Description ,UOM , Qty ,Rate ,Amount 
a,Basement-1 ( for Basement beyond Tower ),Cum, 296 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Cum, 445 ,, -   
c,1st floor ( for Basement beyond Tower ),Cum, 482 ,, -   
d,2nd floor,Cum, 48 ,, -   
e,3rd floor,Cum, 36 ,, -   
f,4th floor,Cum, 20 ,, -   
g,Service Floor,Cum, 27 ,, -   
h,Terrace Floor,Cum, 27 ,, -   
,M50 Grade,, -   ,, -   
a,Ground Floor (Around Building),Cum, 200 ,, -   
b,1st floor ( Around Building ),Cum, 265 ,, -   
c,2nd floor (Around Building),Cum, 320 ,, -   
3.1.17,Flat Slab / Beam (All Types & Sizes) at all Levels,, -   ,, -   
,M30 grade,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Cum," 1,871 ",, -   
b,Ground Floor ( for Basement beyond Tower ),Cum," 2,246 ",, -   
c,1st floor ( for Basement beyond Tower ),Cum," 1,885 ",, -   
3.1.18,Regular Slab,, -   ,, -   
,M30 grade,, -   ,, -   
a,Ground floor,Cum, 400 ,, -   
b,1st floor,Cum, 400 ,, -   
c,2nd floor,Cum," 1,103 ",, -   
d,3rd floor,Cum, 543 ,, -   
e,4th floor,Cum, 536 ,, -   
f,5th floor,Cum, 480 ,, -   
g,6th floor,Cum, 458 ,, -   
h,7th floor,Cum, 420 ,, -   
i,8th floor,Cum, 450 ,, -   
j,9th floor,Cum, 420 ,, -   
k,10th floor,Cum, 465 ,, -   
l,11th floor,Cum, 420 ,, -   
m,12th floor,Cum, 465 ,, -   
n,13th floor,Cum, 420 ,, -   
o,14th floor,Cum, 465 ,, -   
p,15th floor,Cum, 420 ,, -   
q,16th floor,Cum, 465 ,, -   
r,17th floor,Cum, 420 ,, -   
s,18th floor,Cum, 465 ,, -   
t,19th floor,Cum, 420 ,, -   
u,20th floor,Cum, 465 ,, -   
v,21st floor,Cum, 420 ,, -   
w,22nd floor,Cum, 465 ,, -   
 x ,23rd floor,Cum, 420 ,, -   
 y ,24th floor,Cum, 465 ,, -   
 z ,25th floor,Cum, 420 ,, -   
 aa ,26th floor,Cum, 489 ,, -   
 ab ,27th floor,Cum, 445 ,, -   
 ac ,28th floor,Cum, 370 ,, -   
 ad ,Terrace Floor,Cum, 360 ,, -   
 ae ,Above Terrace Floor,Cum, 66 ,, -   
3.1.19,Beams ( All Types and Sizes)  at all levels,, -   ,, -   
,M30 grade,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Cum, 275 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Cum, 373 ,, -   
c,1st floor ( for Basement beyond Tower ),Cum," 1,077 ",, -   
d,2nd floor,Cum, 32 ,, -   
e,3rd floor,Cum, 79 ,, -   
f,4th floor,Cum, 65 ,, -   
g,Service Floor,Cum, 75 ,, -   
h,Terrace Floor,Cum, 115 ,, -   
i,Above Terrace Floor,Cum, 13 ,, -   
,M50 grade,, -   ,, -   
a,2nd floor,Cum, 729 ,, -   
,M30 grade,, -   ,, -   
a,Ground floor,Cum, 3 ,, -   
b,1st floor,Cum, 101 ,, -   
c,2nd floor,Cum, 192 ,, -   
d,3rd floor,Cum, 183 ,, -   
e,4th floor,Cum, 195 ,, -   
f,5th floor,Cum, 156 ,, -   
g,6th floor,Cum, 108 ,, -   
h,7th floor,Cum, 108 ,, -   
i,8th floor,Cum, 108 ,, -   
j,9th floor,Cum, 108 ,, -   
k,10th floor,Cum, 108 ,, -   
l,11th floor,Cum, 108 ,, -   
m,12th floor,Cum, 108 ,, -   
n,13th floor,Cum, 108 ,, -   
o,14th floor,Cum, 108 ,, -   
p,15th floor,Cum, 108 ,, -   
q,16th floor,Cum, 108 ,, -   
r,17th floor,Cum, 108 ,, -   
s,18th floor,Cum, 108 ,, -   
t,19th floor,Cum, 108 ,, -   
u,20th floor,Cum, 108 ,, -   
v,21st floor,Cum, 108 ,, -   
w,22nd floor,Cum, 108 ,, -   
 x ,23rd floor,Cum, 108 ,, -   
 y ,24th floor,Cum, 108 ,, -   
 z ,25th floor,Cum, 108 ,, -   
 aa ,26th floor,Cum, 109 ,, -   
 ab ,27th floor,Cum, 115 ,, -   
 ac ,28th floor,Cum, 129 ,, -   
 ad ,Terrace Floor,Cum, 84 ,, -   
 ae ,Above Terrace Floor,Cum, 39 ,, -   
3.1.20,Panneled Beams (All Types and sizes) at all levels,, -   ,, -   
,M30 grade,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Cum, 28 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Cum, 45 ,, -   
c,1st floor ( for Basement beyond Tower ),Cum, 25 ,, -   
d,2nd floor  ( for Basement beyond Tower ),Cum, 25 ,, -   
3.2,SDC / Free flow concrete for below mentioned elements,, -   ,, -   
,"Providing, placing and compacting Smart Dynamic Cement Concrete / Free flow concrete, High flow concrete, non-segregate, free flow conforming to specified grade (IS 456-2000) the RMC of various grades with 20 mm and down graded aggregate of granite basalt or trap, in positions at all levels and heights, in all required shapes / profiles / inclinations for all reinforced concrete members such as RCC walls, columns, Shear walls, Core walls,  and other miscellaneous members and all architectural features as per specifications  / IS codes, including designing the mix, trial cubes, accelerated curing, weigh batching, mechanical mixing, transporting, pumping and placing at all levels, inclusive of cost towards pumping using line pump or boom placer, scaffolding, compacting with vibrators, construction joint treatments, curing and hacking the exposed surfaces wherever required to receive plaster or floated steel trowelled surface whenever specified. The rate shall include cost of  arrangements to provide recesses to slabs, columns, walls, Drip moulds,  and placing and securing properly within the formwork sleeves and / or opening in slabs, construction joints, laying to required shape, size and slope all as per drawings and as directed by the Engineer In Charge.",, -   ,, -   
,"The rate shall also include the cost of necessary labour, plant and machineries, dewatering, curing the concrete as directed by the Engineer In Charge. curing pipes / Hessain cloth, tools and tackles, making the surface good to receive the finishes, Cover blocks of PVC of approved make / quality (in case of concrete cover blocks, One grade higher Ready made / Factory made to be used as against the relevant structural member grade), making provision of stand - by vibrators and needles , buttering with cement slurry , removing laitance from surface , protecting the newly  placed concrete from rain / heat with PVC sheets , marking the date of concreting, filling the required checklist / pour card, making necessary arrangements for ponding, curing, clearing the area of debris, providing required labour, pumping and hoisting by any mechanical means etc. complete as directed and to the satisfaction of the Client / the Engineer as per the technical specification of the tender.",, -   ,, -   
,"The rate shall include providing and fixing the required PVC sleeves up to 200 mm dia pockets and opening etc., cleaning the site debris stacking the material, hoisting equipment's, shutter accessories and fixing pipe / plates / inserts in perfect size level, plumb etc. as directed by Client / the Engineer and as per technical specifications in the tender. Repairing / replacing the formwork, filling all the holes created due to shuttering / sleeves provided for passage of plumbing, FF pipes / Electrical cables with approved non shrink filler material etc. complete to the satisfaction of Client / the Engineer. Hacking of RCC faces as specified and directed by Client / the Engineer to be included in quoted rate of RCC.",, -   ,, -   
,"The rates shall include the cost of necessary admixtures approved by consultant to get required workability & strength (Glenium series or equivalent) with flow dia of approximately 600 mm and sufficient retention in workability to avoid cold joints. use ordinary Portland cement of grade 53 from approved manufacturer & GGBS of approved brand in proportions of supplementary cementations materials as per Indian Standards. and follow the provident Standard Work Procedures for approval, Mix design, execution and quality measures.",, -   ,, -   
3.2.1,Shear walls and Core Walls at all levels,, -   ,, -   
,M50 grade,, -   ,, -   
a,2nd floor,Cum, 603 ,, -   
b,3rd floor,Cum, 603 ,, -   
c,4th floor,Cum, 633 ,, -   
,M45 grade,, -   ,, -   
a,5th floor,Cum, 633 ,, -   
b,6th floor,Cum, 633 ,, -   
c,7th floor,Cum, 633 ,, -   
d,8th floor,Cum, 633 ,, -   
e,9th floor,Cum, 633 ,, -   
f,10th floor,Cum, 633 ,, -   
g,11th floor,Cum, 633 ,, -   
h,12th floor,Cum, 633 ,, -   
i,13th floor,Cum, 633 ,, -   
j,14th floor,Cum, 633 ,, -   
,M40 grade,, -   ,, -   
a,15th floor,Cum, 633 ,, -   
b,16th floor,Cum, 633 ,, -   
c,17th floor,Cum, 633 ,, -   
d,18th floor,Cum, 633 ,, -   
e,19th floor,Cum, 633 ,, -   
f,20th floor,Cum, 633 ,, -   
g,21st floor,Cum, 633 ,, -   
h,22nd floor,Cum, 633 ,, -   
 i ,23rd floor,Cum, 633 ,, -   
 j ,24th floor,Cum, 633 ,, -   
,M30 grade,, -   ,, -   
a,25th floor,Cum, 633 ,, -   
b,26th floor,Cum, 633 ,, -   
c,27th floor,Cum, 633 ,, -   
d,Terrace floor,Cum, 286 ,, -   
e,Above Terrace Floor,Cum, 135 ,, -   
3.2.2,Non Structural - RC Walls,, -   ,, -   
,M50 Grade,, -   ,, -   
a,2nd floor,Cum, 141 ,, -   
b,3rd floor,Cum, 141 ,, -   
c,4th floor,Cum, 141 ,, -   
,M45 Grade,, -   ,, -   
a,5th floor,Cum, 141 ,, -   
b,6th floor,Cum, 141 ,, -   
c,7th floor,Cum, 141 ,, -   
d,8th floor,Cum, 141 ,, -   
e,9th floor,Cum, 141 ,, -   
f,10th floor,Cum, 141 ,, -   
g,11th floor,Cum, 141 ,, -   
h,12th floor,Cum, 141 ,, -   
i,13th floor,Cum, 141 ,, -   
j,14th floor,Cum, 141 ,, -   
,M40 grade,, -   ,, -   
a,15th floor,Cum, 141 ,, -   
b,16th floor,Cum, 141 ,, -   
c,17th floor,Cum, 141 ,, -   
d,18th floor,Cum, 141 ,, -   
e,19th floor,Cum, 141 ,, -   
f,20th floor,Cum, 141 ,, -   
g,21st floor,Cum, 141 ,, -   
h,22nd floor,Cum, 141 ,, -   
 i ,23rd floor,Cum, 141 ,, -   
 j ,24th floor,Cum, 141 ,, -   
,M30 grade,, -   ,, -   
a,25th floor,Cum, 141 ,, -   
b,26th floor,Cum, 158 ,, -   
c,27th floor,Cum, 215 ,, -   
d,28th floor,Cum, 174 ,, -   
e,Terrace floor,Cum, 24 ,, -   
3.2.3,Elevation features - Fins/Window Boxing/Chajjas/others etc - all levels,Cum, 425 ,, -   
,Sub-Total,,,, -   
4, FORM WORK,, -   ,, -   
,Unless otherwise specified rates quoted for all Form works shall include the following :,, -   ,, -   
,"Cost of all materials, labour, equipment / tools & plants required, lead and lifts, conveyance, infrastructure facilities required etc.",, -   ,, -   
,"Form work shall include splayed edges, notching, allowances for overlaps and passing at angles, batterns, strutting, bolting, wedging, casing, rocking, centering, boxing, shuttering, propping strut braces etc., removal thereof and coating the shuttering with releasing agent /oil to prevent cement sticking to shutter faces. Form work shall be either straight, curved, plain or tapered and also with provision for specified slopes, if directed. Wind tie bolts for wall shuttering.",, -   ,, -   
,"Cost of suitable framework and bracing according to the floor height specified in the drawing, moulds, centering and shuttering, single / double height scaffolding, as directed at site. Dimension of form work will be within the tolerance as specified in IS 456 and shuttering should be water tight.  Shuttering materials shall be Aluminum / steel / timber or plywood as suitable for the work intended.",, -   ,, -   
,"The Contractor shall ensure that they have adequate quantity of shuttering and suitable propping materials according to the floor height specified in the drawing to keep up the required Concreting cycle per floor as set out in the Tender Documents, Drawings and Programme. They shall also ensure that the de-shuttering sequence with proper propping, taking into account the Construction Loading of the upper slabs, as set out in the Tender Drawings, is also kept up. Scheme to maintain the props shall ensure that main supports are not disturbed. Reproping by means of removal and reintroducing of props is not allowed.",, -   ,, -   
,"Formwork for construction joints shall be submitted for approval. Shuttering below the shrinkage strip at every level shall be retained in place without disturbing for a time as specified by the structural engineer. Any honey coombs, any undulations, bulging, any leakage of slurry,  concrete etc is not acceptable and decision of the structural consultant along with the architect is final.",, -   ,, -   
,"Formwork shall be designed for close jointed rigid, durable and shall have adequate strength, water tightness and ensure easy removal etc., Props, shorings and bracings shall be all in steel. Formwork designed with proposed materials (to be approved prior to making) shall be able to retain its shape, line, dimension, level within the allowable limits of variations. Necessary arrangement shall be envisaged to provide camber in beams or slabs as per design. ",, -   ,, -   
,"Contractor is responsible for the correctness and stability of the temporary works required for the peramanent works. All design parameters including design details, shop drawings, method statements and  material test certificates from external approved repuated testing laboratory shall be submitted to the consultant.",, -   ,, -   
,"Exposed surfaces shall be free of blamish, residues of curing compound, uniform in colour, free of construction joint except detailed or approved under methodology of construction, forming construction joint or as providing joint free/ hole free water retaining structures. All system to have in built supporting safety screens.",, -   ,, -   
,All tie rod holes to be filled with approved grouting material. Cost to include necessary embedded tie rod for fixing the one sided shuttering and water retaining structures.,, -   ,, -   
,"Shuttering & deshuttering sequence shall be 100%, 80% & 40%  from the slab to be cast respectively depending on the progress. The same is as per the details enumerated in General Notes. Contractors shall submit drawings showing the scheme of formwork including back propping and proper sequence of removal of formwork and back propping so that the structural slab will not be overloaded due to construction loads. All slabs shall be progressively deshuttered and back propped. It is compulsory to provide adequate back props to the slab on which the supports are resting before taking up concreting work for every slab.",, -   ,, -   
,Minimum of 150mm high MS frame works is required for kickers and starters in case required and formwork design calculations including re-propping arrangements needs to be submitted for approval. ,, -   ,, -   
,"Providing foam sheet at joints to prevent leakage of slurry during compaction, removing adhesive tape from concrete surface if any after deshuttering",, -   ,, -   
,All Form works shall be done in accordance with technical specification.,, -   ,, -   
4.1,CONVENTIONAL SHUTTERING,, -   ,, -   
,"Providing centering / shuttering, erection at all levels and places and profiles wherever needed / specified as per drawing for the following works including with adjustable steel props of acceptable Staging system and with sufficient bracing as approved by consultant. Cost to include designing of proper form work and staging system to suit the requirements, Submission of design calculations and shop drawings for approval, cleaning the materials before errection, using approved system formworks and shifting the materials from yard to place of work, multiple handling of the materials necessary consumables such as nails etc. Cost to include sealing the joints with heavy duty brown self adhesive tape, applying mould releasing agents, aligning to line and levels including MS ties, PVC spacer, concrete cover blocks etc., complete and providing openings / cutouts / pockets, deshuttering as approved by the consultant etc., complete at all levels with proper finishing which may require chipping & grinding wherever applicable,.
1. All formwork, moulds, centering and shuttering shall be good quality plastic coated marine resistant waterproof plywood of 12mm thick  for columns, roof beams, plinth beams, footings, slab  and for all other concrete works, ply shuttering shall be used. 
2. Mould releasing agents of approved make shall be used.
3. Item of works shall be either straight, curved, sloped, plain, tapered or circular in shape .",, -   ,, -   
,"Formwork shall be designed for close jointed rigid, durable and shall have adequate strength, water tightness and ensure easy removal etc., Props, shorings and bracings shall be all in steel or Aluminium. Formwork designed with proposed materials (to be approved prior to making) shall be able to retain its shape, line, dimension, level within the allowable limits of variations. Necessary arrangement shall be envisaged to provide camber in beams or slabs as per design. ",, -   ,, -   
,"1) Plywood shuttering shall be considered for all vertical elements, beam, soffit, corewalls, stairs, ramps,tanks,RCC pedestals, Foundations & Slabs Etc.,                                                                                                                                                                                                                                                                          
2) Shuttering & deshuttering sequence shall be 100% ,80% & 40%  from the slab to be cast respectively",, -   ,, -   
 4.1.1 ,"Foundations, Raft for all vertical elements including independent, combined, raft, etc; ",Sqm," 4,657 ",, -   
 4.1.2 ,Retaining Wall,Sqm," 11,674 ",, -   
 4.1.3 ,Ramp Beam,Sqm," 1,065 ",, -   
 4.1.4 ,Ramp slab,Sqm," 1,920 ",, -   
 4.1.5 ,Pedestals,Sqm," 2,364 ",, -   
 4.1.6 ,Trenches / Ramp drain ,Sqm, 217 ,, -   
 4.1.7 ,Plinth beams,Sqm, 200 ,, -   
 4.1.8 ,RC upstand at all levels for Ramps of specified thickness,Sqm," 13,461 ",, -   
 4.1.9 ,RCC Parapet / upstand at at Terrace of specified thickness,Sqm," 8,274 ",, -   
 4.1.10 ,RCC Walls at all Levels,Sqm, 752 ,, -   
 4.1.11 ,"Raw water, Treated Water Collection Sumps & Fire Fighting Collection sumps",, -   ,, -   
a,Bottom slab,Sqm, 49 ,, -   
b,Walls,Sqm," 3,153 ",, -   
c,Top slab,Sqm, 933 ,, -   
 4.1.12 ,Rain Water Collection Sumps,, -   ,, -   
a,Bottom slab,Sqm, 8 ,, -   
b,Walls,Sqm, 227 ,, -   
c,Top slab,Sqm, 26 ,, -   
 4.1.13 ,Basement water collection Sumps.,, -   ,, -   
a,Bottom slab,Sqm, 13 ,, -   
b,Walls,Sqm, 264 ,, -   
c,Top slab,Sqm, 33 ,, -   
 4.1.14 ,Domestic and Fire Fighting Overhead tanks.,, -   ,, -   
a,Bottom slab,Sqm, 405 ,, -   
b,Walls,Sqm, 690 ,, -   
c,Top slab,Sqm, 165 ,, -   
 4.1.15 ,Sewage Treatment Plant ,, -   ,, -   
a,Bottom slab,Sqm, 53 ,, -   
b,Walls,Sqm," 2,739 ",, -   
c,Plat Form slab,Sqm, 144 ,, -   
d,Top slab,Sqm, 475 ,, -   
 4.1.16 ,Staircase at all floors & heights,Sqm, 50 ,, -   
 4.1.17 ,Lintels at all levels,Sqm," 1,160 ",, -   
 4.1.18 ,Chejjas / Lofts at all levels,Sqm, 550 ,, -   
 4.1.19 ,RCC Brackets / Fins / Ledges at all levels,Sqm," 1,050 ",, -   
 4.1.20 ,"DG, Chillers, Pump & Transform Foundations and other miscellaneous works",Sqm, 230 ,, -   
 4.1.21 ,"Extra rate for additional staging for concreting for slab/beams/coumns/ domes /or as per drawings if any and finishing the same. Rate shall include mobilisation of staging material, erecting as and when the construction progresses, keeping the same till final completion of related works and deshuttering/demobilising the same after approval from the Engineer in charge.
Note: Plan area to be measured for Payments",, -   ,, -   
a,Double height (Extra Single Staging) for Entrace lobby Area from Ground floor to 2nd floor Clubhouse,Sqm, 60 ,, -   
b,Double height (Extra Single Staging) for Badmiton Court Area from Ground floor to 2nd Clubhouse,Sqm, 220 ,, -   
c,Double height (Extra Single Staging) for Squash court Area from Ground floor to 2nd Clubhouse,Sqm, 90 ,, -   
 4.1.22 ,Sub-Soil Well along with the retaining wall including bottom and top slabs,, -   ,, -   
 a ,Bottom Slab,Sqm, 100 ,, -   
 b ,Walls ,Sqm, 100 ,, -   
 c ,Top Slab ,Sqm, 100 ,, -   
 4.1.23 ,Columns at all levels,, -   ,, -   
 a ,Basement,Sqm," 2,248 ",, -   
 b ,Ground Floor ,Sqm," 2,324 ",, -   
 c ,1st floor,Sqm," 2,092 ",, -   
 d ,2nd floor,Sqm, 939 ,, -   
 e ,3rd floor,Sqm, 447 ,, -   
 f ,4th floor,Sqm, 212 ,, -   
 g ,Service Floor,Sqm, 120 ,, -   
 h ,Terrace Floor,Sqm, 123 ,, -   
 4.1.24 ,Shear wall & Core Walls,, -   ,, -   
 a ,Basement,Sqm," 7,077 ",, -   
 b ,Ground Floor ,Sqm," 6,402 ",, -   
 c ,1st floor,Sqm," 7,902 ",, -   
 d ,2nd floor,Sqm, 505 ,, -   
 e ,3rd floor,Sqm, 455 ,, -   
 f ,4th floor,Sqm, 300 ,, -   
 g ,Service Floor,Sqm, 170 ,, -   
 h ,Terrace Floor,Sqm, 215 ,, -   
 4.1.25 ,Staircase at all levels,, -   ,, -   
 a ,Basement,Sqm, 257 ,, -   
 b ,Ground Floor ,Sqm, 283 ,, -   
 c ,1st floor,Sqm, 329 ,, -   
 d ,2nd floor,Sqm, 86 ,, -   
 e ,3rd floor,Sqm, 86 ,, -   
 f ,4th floor,Sqm, 86 ,, -   
 g ,Service Floor,Sqm, 43 ,, -   
 h ,Terrace Floor,Sqm, 43 ,, -   
 4.1.26 ,Flat Slab / Beam (All Types and sizes) including drops at all Levels,, -   ,, -   
 a ,Ground Floor ,Sqm," 10,828 ",, -   
 b ,1st floor,Sqm," 11,153 ",, -   
 c ,2nd floor,Sqm," 13,995 ",, -   
 d ,3rd floor,Sqm," 1,002 ",, -   
 e ,4th floor,Sqm, 754 ,, -   
 f ,Service Floor,Sqm, 10 ,, -   
 g ,Terrace Floor,Sqm, 558 ,, -   
 h ,Above Terrace Floor,Sqm, 110 ,, -   
 4.1.27 ,Beams (All types and sizes) at all levels & Sizes,, -   ,, -   
 a ,Ground Floor ,Sqm," 2,892 ",, -   
 b ,1st floor,Sqm," 3,872 ",, -   
 c ,2nd floor,Sqm," 9,277 ",, -   
 d ,3rd floor,Sqm, 600 ,, -   
 e ,4th floor,Sqm, 417 ,, -   
 f ,Service Floor,Sqm, 50 ,, -   
 g ,Terrace Floor,Sqm, 359 ,, -   
 h ,Above Terrace Floor,Sqm, 25 ,, -   
 4.1.28 ,Panneled Beams (All Types and Sizes) at all levels & Sizes,, -   ,, -   
a,Basement-1 ( for Basement beyond Tower ),Sqm, 224 ,, -   
b,Ground Floor ( for Basement beyond Tower ),Sqm, 360 ,, -   
c,1st floor ( for Basement beyond Tower ),Sqm, 200 ,, -   
d,2nd floor ( for Basement beyond Tower ),Sqm, 200 ,, -   
4.2,ALUMINIUM SYSTEM FORMWORK,, -   ,, -   
,"Providing and fixing the Aluminium shuttering of  'MIVAN' or equivalent  in the form of an assembled formwork for the monolithic casting of the walls, beams, slabs, folded slabs, staircases, openings, shafts, pardis, sunshades, projected slabs, balconies, window boxing, sleeves, etc, with all elements of the mould assembled as per the approved design and as per the manufacturer's specifications. Only the surface area of the form work to be measured. The work includes the survey and proper setting out of formwork while assembling and re-assembling on floors, Initial setting,  providing necessary starters, application of approved make and grade of shuttering oil, provision for dowels for construction joint, providing and fixing steel props, bracings, strutts, ties with PVC sleeves; providing staging/supports for slabs and fixing of working platform required all around the external walls at two levels; Fixing of Safety nets for the full height of two floors at working levels, Removal of formwork after concreting, propping of the slab for the required periods, hacking wherever required, cleaning the formwork and making good the whole, rectification of damages and replacement of defective formwork or accessories, cost of all consumables like Pin & Wedge, Patti, Grooves, foam sheets etc, maliting of formwork for proper surface finish, shifting of formwork vertically as well as horizontally for further assemblies etc. The rate shall including  for double height balconies, which are flipping in alternate floors with additional staging for concreting for slab/beams/coumns and finishing the same. Rate shall include mobilisation of staging material, erecting as and when the construction progresses, making Drip moulds, elevation features etc, keeping the same till final completion of related works and deshuttering/demobilising the same after approval from the Client / the Engineer",, -   ,, -   
,"The rate shall also include for designing and submitting of formwork drawings for approvals, providing and applying approved moulds released agent, de-shuttering / removing the formwork. The concrete joint marks shall be smoothed off and all blemishes, projections etc. removed, leaving the surfaces reasonably smooth and unmarred by any means to receive Internal/External plaster / Internal/External Paint as the case may be. Providing necessary stopper at construction joints, platform for concreting, cut-outs in the formwork, providing and fixing the required sleeves, pockets and opening , MS Jali etc. cleaning the site debris, stacking the material, hosting, equipment's, and fixing pipe /plate/inserts in perfect line, level, plumb with due protection against any damage or blockage etc. as directed and as per technical specification in the tender by the Client / the Engineer. repairing / replacing the formwork, filling all the holes created due to shuttering with approved filler material etc. complete to the satisfaction of the Client / the Engineer.",, -   ,, -   
 a ,2nd floor,Sqm," 14,250 ",, -   
 b ,3rd floor,Sqm," 14,250 ",, -   
 c ,4th floor,Sqm," 14,250 ",, -   
 d ,5th floor,Sqm," 14,250 ",, -   
 e ,6th floor,Sqm," 14,418 ",, -   
 f ,7th floor,Sqm," 14,250 ",, -   
 g ,8th floor,Sqm," 14,586 ",, -   
 h ,9th floor,Sqm," 14,250 ",, -   
 i ,10th floor,Sqm," 14,754 ",, -   
 j ,11th floor,Sqm," 14,250 ",, -   
 k ,12th floor,Sqm," 14,754 ",, -   
 l ,13th floor,Sqm," 14,250 ",, -   
 m ,14th floor,Sqm," 14,754 ",, -   
 n ,15th floor,Sqm," 14,250 ",, -   
 o ,16th floor,Sqm," 14,754 ",, -   
 p ,17th floor,Sqm," 14,250 ",, -   
 q ,18th floor,Sqm," 14,754 ",, -   
 r ,19th floor,Sqm," 14,250 ",, -   
 s ,20th floor,Sqm," 14,754 ",, -   
 t ,21st floor,Sqm," 14,250 ",, -   
 u ,22nd floor,Sqm," 14,754 ",, -   
 v ,23rd floor,Sqm," 14,250 ",, -   
 w ,24th floor,Sqm," 14,754 ",, -   
 x ,25th floor,Sqm," 14,250 ",, -   
 y ,26th floor,Sqm," 15,079 ",, -   
 z ,27th floor,Sqm," 14,918 ",, -   
 aa ,28th floor,Sqm," 10,801 ",, -   
 ab ,Terrace,Sqm," 3,544 ",, -   
 ac ,Above Terrace,Sqm," 2,349 ",, -   
4.3,Elevation features - Fins/Window Boxing/Chajja/others etc - all levels,Sqm," 5,284 ",, -   
4.4,"Providing, supplying, placing and fixing in position to create gap for expansion joints of specified thick using 100mm tk (25mm in 4 numbers or as per manufacturer recommendation) of lower density of supreme make - CAPCELL HD100 of 100 kg/cum density during execution of concrete elements  at all expansion joints and separation joints at all levels and wherever specified to the required sizes, shapes, etc., complete.
The rate is including all kind of materials, wastages, Labour, at all heights, lead and Lifts etc.",Sqm, 316 ,, -   
,Sub-Total,,,, -   
5,REINFORCEMENT  STEEL WORKS,, -   ,, -   
,Unless otherwise specified rates quoted for all Reinforcement works shall include the following :,, -   ,, -   
,"Work at any depth below ground level or any height above ground level and at all levels, heights & elevation and location.  ",, -   ,, -   
,"Supply, cutting, wastage, straightening, bending, hoisting, fixing, supporting in position using cover/spacer blocks and tying with approved binding wire made out of 18 gauge G.I. annealed wire using either conventional hook or hand twister or automatic tying machine or fusion welding whichever is appropriate adopting various knots required for rigidity and positioning of the bars.",, -   ,, -   
,"All reinforcement steel shall be cut & bent to the required size and shape as detailed in the structural drawings using necessary plants & machinery in the factory/ site and all lapping  for 16mm and above in columns, corewalls, shearwalls & staircase walls shall be using mechanical threaded couplers as per the code. For all other elements lap length shall be considered as per structural drawings & details.",, -   ,, -   
,Quantity of steel shall be as per drawing and authorised overlaps only shall be measured and paid and Unauthorised laps will not be measured. Contractor shall prepare bar bending schedule and fabrication shall be carried out as per approved bar bending schedules/fabrication drawing.  All testing including  physical & chemical and quality assurances shall be as per the tender conditions/ Specifications and no extra shall be paid for the same.,, -   ,, -   
,Tests on materials shall confirm to IS  Specification and the test shall be carried out as directed either at site Laboratory or at any approved test laboratory.,, -   ,, -   
,"Quoted rate to include all leads, lifts, necessary fixing and tying arrangements for dowel bars, protection to dowel bars rebending of dowel bars, placing at all levels and as directed.",, -   ,, -   
,All Reinforcement steel works shall be done in accordance with technical specification.,, -   ,, -   
,STEEL WORKS ,, -   ,, -   
5.1,"Supplying, fabricating & fixing in position reinforcement for RCC work with high yield strength ribbed cold twisted tor steel (HYSD) bar of various diameters and grade of steel at all levels conforming to IS specification including transporting from yard, decoiling, straightening, cutting, bending, hoisting, fabricating, and placing in position according to drawings and binding the reinforcement with GI annealed binding wire of double fold of 18 gauge and providing PVC cover blocks, for placing the reinforcements in position and for maintaining the cover specified and/or according to relevant IS including dewatering wherever necessary. The rate shall include cost of binding wire, chairs, spacers which will not be measured separately for payment etc complete all as per design, specifications and drawings, with all lead & lift for all materials & labour and as directed, at all heights & locations.",, -   ,, -   
,"Note : Unless noted otherwise the measurements in accordance with IS 1200. However reinforcement shall be measured only in lengths of bars as actually placed in position on standard weight basis, no allowance being made in the weight for rolling margin. Authorized laps and splices only will be measured. Chairs of any shape & profile, Spacer bar of any shape & profile, cover block, wastage and binding wire will not be measured and shall be included in the quoted rates. Quoted rate shall be deemed to have considered the above stipulation. Quoted rate to include lead, lift, placing  at all levels and as directed.",, -   ,, -   
i,Grade of reinforced steel - Fe 550/550D,MT," 6,280 ",, -   
5.2,"Supplying, fabricating and erecting Structural steel members in position at all levels and at all heights as specified in the drawings made out of standard MS sections conforming to IS 226/2062/800. Cost to include fabricating necessary Gusset Plates, Stiffener plates, Chequered plates, Brackets, Bolts, Cleats, seating angles, MS Flats, MS grating and consumables etc., to the required size, shape, alignment etc, as per the drawings. The rate shall include  for  necessary anchoring  arrangements to  the  walls  and  fixing on concrete bed,Cost to include welding of members using structural steel welding electrodes as per IS 814/816/817, a coat of anti corrosive primer (non flammable) to the exposed surfaces, testing as per IS 7307 (PART 1), necessary equipments, tools and tackles, staging, scaffolding required etc., complete.  The rate to include two coats of enamel paint over a coat of zinc chromate primer.Complete as per the drawings.",, -   ,, -   
i,"For Terrace MS Elevation Features / Pergolas, OHT/ LMR Ladders, Basement/Ramp gratings, PHE Shaft Cat Ladder, Shaft Laders, Terrace Level Steel Staircase, STP walkways, STP Staircase, STP Railing, pump room & Other Miscellaneous Work ets as per site conditions / drawings at all levels.",MT, 160 ,, -   
