Item No.,Description ,UOM , Qty ,Rate ,Amount 
b,"Specification & scope of work same as 1.01.a but for Excavation in Hard rock / boulders (more than 1/2 Cum in size -Un poclainable) by chiselling/ wedging to required level to the required depth including all leads and lifts, dressing, grading, cleaning, excavating loose pockets directed and disposing etc. as per detailed specification and conforming to safety rules of Authority during the progress of work.  
Note: The percentage of voids to be deducted from stack measurement is 40% for hard rock or Initial levels will be taken before hard rock cutting and final levels will be taken after achieving required levels in presence of PIC.
Note: PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurement shall be by joint measurements/ levels before and after excavation).",, -   ,, -   
,"Excavation and stacking,storing of excavated material inside the site premises including all lead and lift.",, -   ,, -   
i,Up to 1.5m,Cum, 300 ,, -   
ii,From 1.5m to 3.0m,Cum, 275 ,, -   
iii,From 3.0m to 4.5m,Cum, 200 ,, -   
iv,From 4.5m to 6.0m,Cum, 25 ,, -   
v,From 6.0m to 7.5m,Cum, 25 ,, -   
c,"Specification & scope of work same as 1.01.a but for Excavation in Hard rock / boulders (more than 1/2 Cum in size -Un poclainable) by Diamond Rope Cutting to required level to the required depth including all leads and lifts, dressing, grading, cleaning, excavating loose pockets directed and disposing etc. as per detailed specification and conforming to safety rules of Authority during the progress of work.  
Note: The percentage of voids to be deducted from stack measurement is 40% for hard rock or Initial levels will be taken before hard rock cutting and final levels will be taken after achieving required levels in presence of PIC.
Note: PCC area shall be considered for measurement (Working space & provision of slopes if required for execution shall not be paid separately. Mode of measurement shall be by joint measurements/ levels before and after excavation).",, -   ,, -   
,"Excavation and stacking,storing of excavated materials inside the site premises including all lead and lift.",, -   ,, -   
i,Up to 1.5m,Cum," 2,806 ",, -   
ii,From 1.5m to 3.0m,Cum," 2,349 ",, -   
iii,From 3.0m to 4.5m,Cum, 773 ,, -   
iv,From 4.5m to 6.0m,Cum, 749 ,, -   
v,From 6.0m to 7.5m,Cum, 588 ,, -   
vi,From 7.5m to 9.0m and above.,Cum, 150 ,, -   
1.02,"INDIVIDUAL FOOTING / POCKET EXCAVATION (i.e. Excavation, Stacking, Storing of excavated material inside the site premises including all lead and lift.)",, -   ,, -   
