Handle,Block,Name,Type,Grid,Length,Width,Height,BottomLvl,ConcVol,ShutArea,Link,BaseArea,Perimeter,Coords
1A7070,4,C1,Shear Wall,V-2514,3.8,0.4,3,0.75,3,26.4,F1,1,8.8,"(34945346.111,-12562642.775);(34944355.625,-12565046.717);(34944540.544,-12565122.908);(34944311.970,-12565677.664);(34943942.133,-12565525.282);(34945389.766,-12562011.828);(34945389.766,-12562011.828);(34945389.766,-12562011.828);(34945759.603,-12562164.210);(34945531.030,-12562718.966);(34945346.111,-12562642.775);"
1A706F,4,C1,Shear Wall,U-2515,3.8,0.4,3,0.75,3,26.4,F1,1,8.8,"(34942831.801,-12568745.089);(34941841.315,-12571149.032);(34942026.234,-12571225.223);(34941797.660,-12571779.979);(34941427.823,-12571627.596);(34942875.456,-12568114.142);(34942875.456,-12568114.142);(34942875.456,-12568114.142);(34943245.293,-12568266.525);(34943016.719,-12568821.281);(34942831.801,-12568745.089);"
1A7072,4,C2,Shear Wall,W-2514,4.76,0.4,3,0.8,3.576,32.16,F2,1.192,10.72,"(34948892.429,-12563065.654);(34947536.226,-12566357.206);(34947721.144,-12566433.397);(34947492.571,-12566988.153);(34947122.733,-12566835.770);(34948936.084,-12562434.707);(34948936.084,-12562434.707);(34948936.084,-12562434.707);(34949305.921,-12562587.090);(34949077.348,-12563141.845);(34948892.429,-12563065.654);"
1A709A,4,C12A,Shear Wall,W-2514,5.26,0.4,3,0.8,3.815,35.161,F3,1.2717,11.7202,"(34952076.278,-12563187.437);(34950072.232,-12568050.907);(34950072.232,-12568050.907);(34950072.232,-12568050.907);(34950442.070,-12568203.289);(34950670.643,-12567648.533);(34950485.725,-12567572.342);(34951841.928,-12564280.790);(34952026.847,-12564356.982);(34952255.420,-12563802.226);(34952033.656,-12563710.853);(34952224.212,-12563248.393);(34952076.278,-12563187.437);(34952076.280,-12563187.438);(34952076.280,-12563187.438);"
1A70A0,4,C11,Shear Wall,C-2517,3.8,0.4,3,0.9,3,26.4,CF5,1,8.8,"(34978640.684,-12576360.992);(34977650.198,-12578764.934);(34977835.117,-12578841.125);(34977606.543,-12579395.881);(34977236.706,-12579243.499);(34978684.339,-12575730.045);(34978684.339,-12575730.045);(34978684.339,-12575730.045);(34979054.176,-12575882.427);(34978825.603,-12576437.183);(34978640.684,-12576360.992);"
1A709F,4,C11,Shear Wall,B-2518,3.8,0.4,3,0.9,3,26.4,CF5,1,8.8,"(34976126.374,-12582463.306);(34975135.888,-12584867.249);(34975320.807,-12584943.440);(34975092.233,-12585498.196);(34974722.396,-12585345.813);(34976170.029,-12581832.359);(34976170.029,-12581832.359);(34976170.029,-12581832.359);(34976539.866,-12581984.742);(34976311.293,-12582539.498);(34976126.374,-12582463.306);"
1A709E,4,C12A,Shear Wall,A-2514,5.26,0.4,3,0.95,3.815,35.161,F5,1.2717,11.7202,"(34970444.141,-12566303.337);(34965423.473,-12564734.125);(34965423.473,-12564734.125);(34965423.473,-12564734.125);(34965304.157,-12565115.915);(34965876.842,-12565294.889);(34965936.500,-12565103.994);(34969334.432,-12566165.907);(34969274.774,-12566356.802);(34969847.459,-12566535.776);(34969919.005,-12566306.844);(34970396.412,-12566456.052);(34970444.141,-12566303.337);(34970444.141,-12566303.339);(34970444.141,-12566303.339);"
1A709D,4,C12A,Shear Wall,Y-2514,5.26,0.4,3,0.95,3.815,35.161,F5,1.2717,11.7202,"(34957730.180,-12562330.004);(34962750.942,-12563898.913);(34962750.942,-12563898.913);(34962750.942,-12563898.913);(34962631.626,-12564280.703);(34962058.941,-12564101.729);(34962118.599,-12563910.834);(34958720.667,-12562848.921);(34958661.009,-12563039.816);(34958088.324,-12562860.842);(34958159.869,-12562631.910);(34957682.456,-12562482.721);(34957730.180,-12562330.004);(34957730.179,-12562330.006);(34957730.179,-12562330.006);"
1A709C,4,C12A,Shear Wall,Y-2518,5.26,0.4,3,0.95,3.815,35.161,F5,1.2717,11.7202,"(34962233.569,-12586231.909);(34957564.730,-12583808.796);(34957564.730,-12583808.796);(34957564.730,-12583808.796);(34957749.002,-12583453.769);(34958281.542,-12583730.176);(34958189.406,-12583907.690);(34961349.145,-12585547.705);(34961441.281,-12585370.192);(34961973.821,-12585646.599);(34961863.326,-12585859.483);(34962307.275,-12586089.897);(34962233.569,-12586231.909);(34962233.570,-12586231.907);(34962233.570,-12586231.907);"
1A709B,4,C12A,Shear Wall,X-2517,5.26,0.4,3,0.95,3.815,35.161,F5,1.2717,11.7202,"(34950410.849,-12580095.502);(34955079.542,-12582518.896);(34955079.542,-12582518.896);(34955079.542,-12582518.896);(34955263.814,-12582163.869);(34954731.274,-12581887.462);(34954639.138,-12582064.976);(34951479.399,-12580424.960);(34951571.535,-12580247.447);(34951038.995,-12579971.039);(34950928.500,-12580183.923);(34950484.561,-12579953.492);(34950410.849,-12580095.502);(34950410.850,-12580095.500);(34950410.850,-12580095.500);"
