Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
180.4,"14000511
/995411","14000511 /995411 L/C for
marking for lin","3,120.00",,SQM,Road marking strips 1st Flr,832,2595840
180.5,"14000511
/995411","14000511 /995411 L/C for
marking for lin",204,,SQM,Road marking strips 2nd Flr,864,176256
180.6,"14000511
/995411","14000511 /995411 L/C for
marking for lin",204,,SQM,Road marking strips 3rdFlr,896,182784
180.7,"14000511
/995411","14000511 /995411 L/C for
marking for lin",204,,SQM,Road marking strips 4thFlr,928,189312
180.8,"14000511
/995411","14000511 /995411 L/C for
marking for lin",204,,SQM,Road marking strips 5thFlr,960,195840
180.9,"14000511
/995411","13000198 /995458 CRE-
Column Guard 75x75",204,,SQM,Column Guards,992,202368
180.1,"13000198
/995458","13000198 /995458 CRE-
Column Guard 75x75","4,142.00",,NOS,Column Guards,832,3446144
180.1,"13000198
/995458","13000198 /995458 CRE-
Column Guard 75x75","4,058.00",,NOS,Column Guards,832,3376256
180.1,"13000198
/995458","14000035 /995475 CRE-
50mm Screed at Sha",425,,NOS,50mm avg thk. screed concrete- shaftplatform,832,353600
180.1,"14000035
/995475","13000198 /995458 CRE-
Column Guard 75x75",195,,SQM,Column Guards,370,72150
180.1,"13000198
/995458","13000198 /995458 CRE-
Column Guard 75x75",425,,NOS,Column Guards,832,353600
180.1,"13000198
/995458","13000198 /995458 CRE-
Column Guard 75x75",425,,NOS,Column Guards,832,353600
180.1,"13000198
/995458","13000198 /995458 CRE-
Column Guard 75x75",425,,NOS,Column Guards,832,353600
180.1,"13000198
/995458","25000081 /995411 Road
Work-EPDM Rubber S",425,,NOS,EDPM rubber speed humps,832,353600
180.1,"25000081
/995411","14000035 /995475 CRE-
50mm Screed at Sha",133,,RMT,Sealant packing-CM 1:4,"1,600.00",212800
180.1,"14000035
/995475","14000308 /995411 Roofing
sheet- all type",40.5,,SQM,OTS cover-polycarbonate sheet,333,13486.5
180.2,"14000308
/995411","14000318 /995411 Bison
Board - Balcony &",49,,SQM,Bison Board-Rain water pipe covering,"5,027.00",246323
180.2,"14000318
/995411","15000009 /995432
Structural Glazing Mbr",622.3,,SQM,Clubhouse-Glazing Works,"1,155.00",718756.5
180.2,"15000009
/995432","15000009 /995432
Structural Glazing Mbr",403,,SQM,Clubhouse-External fin Works,"11,037.00",4447911
180.2,"15000009
/995432","15000002 /995432
Aluminium Cladding Fa̤",247,,SQM,Clubhouse-Perforated sheet Works,"11,037.00",2726139
180.2,"15000002
/995432","15000007 /995432
Aluminium Louvers Pvdf",45,,SQM,MLCP-Al. Louver Works,"10,240.00",460800
190,"15000007
/995432",Unit Entry Door,779,,SQM,Main door - D (1050 x 2400 MM),"5,888.00",4586752
190.1,,"14000345 /995411 Unit
Entry Door",1,,AU,Main door - D (1050 x 2400 MM),"36,33,400.00",3633400
190.2,"14000345
/995411","14000347 /995411 Toilet
Door",2,,NOS,Toilet door - D3 (750 x 2100MM),"15,950.00",31900
190.3,"14000347
/995411","14000474 /995411 MS
Door for shafts",2,,NOS,MSD -1 1500x2100 mm (Electrical Rooms & Service Room) Basement & Groundfloor,"12,100.00",24200
190.4,"14000474
/995411","14000474 /995411 MS
Door for shafts",72,,SQM,MSD -2 1200x2100 mm (Electrical Rooms & Service Room) Basement & Groundfloor,"8,250.00",594000
190.5,"14000474
/995411","14000474 /995411 MS
Door for shafts",47,,SQM,MSD -3 900x2100 mm (Electrical Rooms & Service Room) Basement & Groundfloor,"8,250.00",387750
190.6,"14000474
/995411","14000415 /995411 Double
Leaf Patch fit.",10,,SQM,CGD1 - 2000x2400mm-Club house Ground floor,"8,250.00",82500
190.7,"14000415
/995411","14000415 /995411 Double
Leaf Patch fit.",24,,SQM,CGD2 - 1800x2400mm-Club house Ground floor,"15,000.00",360000
190.8,"14000415
/995411","14000414 /995411 Single
Leaf Patch fit.",13,,SQM,Glass Door 1200x2400mm (Club house),"15,000.00",195000
190.9,"14000414
/995411","14000414 /995411 Single
Leaf Patch fit.",18,,SQM,Glass Door 1000x2400mm (Club house),"13,800.00",248400
190.1,"14000414
/995411","14000350 /995411 2hr.
Fire rated hollow",5,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"13,800.00",69000
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",33,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"8,250.00",272250
190.1,"14000350
/995411","14000345 /995411 Unit
Entry Door",74,,SQM,Main door - D (1050 x 2400 MM),"8,250.00",610500
190.1,"14000345
/995411","14000350 /995411 2hr.
Fire rated hollow",2,,NOS,MSD/MSD2 1200x2100 mm (Staircase Doors),"15,950.00",31900
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",6,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"8,250.00",49500
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",6,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"8,250.00",49500
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",3,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"8,250.00",24750
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",3,,SQM,MSD/MSD2 1200x2100 mm (Staircase Doors),"8,250.00",24750
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",3,,SQM,DD 900x1350 mm (Shaft Doors),"8,250.00",24750
190.1,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",21,,SQM,DD 900x1350 mm (Shaft Doors),"8,250.00",173250
190.2,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",2,,SQM,DD 900x1350 mm (Shaft Doors),"8,250.00",16500
190.2,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",2,,SQM,DD1 600x1350 mm (Shaft Doors),"8,250.00",16500
190.2,"14000350
/995411","14000350 /995411 2hr.
Fire rated hollow",1,,SQM,DD1 600x1350 mm (Shaft Doors),"8,250.00",8250
190.2,"14000350
/995411","14000345 /995411 Unit
Entry Door",1,,SQM,Main door - D (1050 x 2400 MM),"8,250.00",8250
190.2,"14000345
/995411","14000350 /995411 2hr.
Fire rated hollow",4,,NOS,DD1 600x1350 mm (Shaft Doors),"15,950.00",63800
190.2,"14000350
/995411","14000346 /995411 Bed
Room Door",2,,SQM,Internal door - D2 (900x 2100MM),"8,250.00",16500
190.2,"14000346
/995411","14000346 /995411 Bed
Room Door",5,,NOS,Internal door - D2 (900x 2100MM),"13,200.00",66000
190.2,"14000346
/995411","14000346 /995411 Bed
Room Door",1,,NOS,Internal door - D2 (900x 2100MM),"13,200.00",13200
190.2,"14000346
/995411","14000347 /995411 Toilet
Door",1,,NOS,Toilet door - D3 (750 x 2100MM),"13,200.00",13200
190.2,"14000347
/995411","14000347 /995411 Toilet
Door",9,,NOS,Toilet door - D3 (750 x 2100MM),"12,100.00",108900
190.3,"14000347
/995411","14000347 /995411 Toilet
Door",2,,NOS,Toilet door - D3 (750 x 2100MM),"12,100.00",24200
200,"14000347
/995411",UPVC Sliding Door,2,,NOS,Club house,"12,100.00",24200
200.1,,"14000352 /995411 UPVC
Sliding Door",1,,AU,Club house,"8,26,980.00",826980
200.2,"14000352
/995411","14000351 /995411 UPVC
Door/Windows/Venti",10,,SQM,UPVC GW1 1800x1300 mm (Grill window),"4,620.00",46200
200.3,"14000351
/995411","14000355 /995411 UPVC
Ventilators",21,,SQM,UPVC V3 1200x600 mm,"4,620.00",97020
200.4,"14000355
/995411","14000355 /995411 UPVC
Ventilators",2,,SQM,UPVC V4 600x900 mm,"4,620.00",9240
200.5,"14000355
/995411","14000355 /995411 UPVC
Ventilators",2,,SQM,UPVC CV1 750x900 mm,"4,620.00",9240
200.6,"14000355
/995411","14000355 /995411 UPVC
Ventilators",2,,SQM,UPVC CV1 750x900 mm,"4,620.00",9240
200.7,"14000355
/995411","14000355 /995411 UPVC
Ventilators",2,,SQM,UPVC CV2 1200x600 mm,"4,620.00",9240
200.8,"14000355
/995411","14000355 /995411 UPVC
Ventilators",2,,SQM,UPVC CV2 1200x600 mm,"4,620.00",9240
200.9,"14000355
/995411","14000353 /995411 UPVC
Sliding Window",2,,SQM,UPVC SW1-1500X1300mm,"4,620.00",9240
200.1,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",20,,SQM,UPVC SW1-1500X1300mm,"4,620.00",92400
200.1,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",12,,SQM,UPVC SW2-1000X1300mm,"4,620.00",55440
200.1,"14000353
/995411","14000353 /995411 UPVC
Sliding Window",34,,SQM,UPVC SW2-1000X1300mm,"4,620.00",157080
200.1,"14000353
/995411","14000351 /995411 UPVC
Door/Windows/Venti",8,,SQM,UPVC CW1 1800x1300 mm,"4,620.00",36960
200.1,"14000351
/995411","14000351 /995411 UPVC
Door/Windows/Venti",15,,SQM,UPVC CW1 1800x1300 mm,"4,620.00",69300
200.1,"14000351
/995411","14000351 /995411 UPVC
Door/Windows/Venti",19,,SQM,UPVC CW1 1800x1300 mm,"4,620.00",87780
200.1,"14000351
/995411","14000351 /995411 UPVC
Door/Windows/Venti",17,,SQM,UPVC GW1 1800x1300 mm (Grill window),"4,620.00",78540
210,"14000351
/995411","Silhouette Grid False
Ceiling",11,,SQM,Gypboard modular Grid ceiling,"4,620.00",50820
210.1,,"14000313 /995411
Silhouette Grid False C",1,,AU,Gypboard modular Grid ceiling,"7,80,960.00",780960
210.2,"14000313
/995411","14000313 /995411
Silhouette Grid False C",27,,SQM,Gypboard modular Grid ceiling,960,25920
210.3,"14000313
/995411","14000313 /995411
Silhouette Grid False C",37,,SQM,Gypboard modular Grid ceiling,960,35520
210.4,"14000313
/995411","14000311 /995411 GI
Suspended False Ceil",61,,SQM,Podium Entrance False Ceiling,960,58560
210.5,"14000311
/995411","14000311 /995411 GI
Suspended False Ceil",264,,SQM,Podium Entrance False Ceiling,"1,440.00",380160
210.6,"14000311
/995411","14000311 /995411 GI
Suspended False Ceil",85,,SQM,Podium Entrance False Ceiling,"1,440.00",122400
220,"14000311
/995411","RMC-Staircase at all floors
& heights",110,,SQM,RMC M30 Stair-1st floor,"1,440.00",158400
220.1,,"13000322 /995411 RMC-
Staircase at all fl",1,,AU,RMC M30 Stair-1st floor,"1,31,65,683.13",13165683.13
220.2,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.725,,CUM,RMC M30 Stair-10t floor,"7,109.00",33590.025
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-11th floor,"7,109.00",32751.163
220.4,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-12th floor,"7,109.00",32751.163
220.5,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-13th floor,"7,109.00",32751.163
220.6,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-14th floor,"7,109.00",32751.163
220.7,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-15th floor,"7,109.00",32751.163
220.8,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-16th floor,"7,109.00",32751.163
220.9,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-17th floor,"7,109.00",32751.163
220.1,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-18th floor,"7,109.00",32751.163
220.1,"13000322
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",4.607,,CUM,RMC M30 Regular Slab 1st floor,"7,109.00",32751.163
220.1,"13000389
/995411","13000322 /995411 RMC-
Staircase at all fl",101.967,,CUM,RMC M30 Stair-2nd floor,"7,109.00",724883.403
220.1,"13000322
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",4.608,,CUM,RMC M30 Regular Slab 2nd floor,"7,109.00",32758.272
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",98,,CUM,RMC M30 Regular Slab 3rd floor,"7,109.00",696682
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",97.635,,CUM,RMC M30 Regular Slab 4th floor,"7,109.00",694087.215
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",93.644,,CUM,RMC M30 Regular Slab 5th floor,"7,109.00",665715.196
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 6th floor,"7,109.00",651084.874
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 7th floor,"7,109.00",651084.874
220.1,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 8th floor,"7,109.00",651084.874
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 9th floor,"7,109.00",651084.874
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 10th floor,"7,109.00",651084.874
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.586,,CUM,RMC M30 Regular Slab 11th floor,"7,109.00",651084.874
220.2,"13000389
/995411","13000322 /995411 RMC-
Staircase at all fl",91.585,,CUM,RMC M30 Stair-3rd floor,"7,109.00",651077.765
220.2,"13000322
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",4.607,,CUM,RMC M30 Regular Slab 12th floor,"7,109.00",32751.163
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",91.585,,CUM,RMC M30 Regular Slab 13th floor,"7,109.00",651077.765
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",86.748,,CUM,RMC M30 Regular Slab 14th floor,"7,109.00",616691.532
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab 15th floor,"7,109.00",639610.948
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab 16th floor,"7,109.00",639610.948
220.2,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab 17th floor,"7,109.00",639610.948
220.3,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab 18th floor,"7,109.00",639610.948
220.3,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab terrace floor,"7,109.00",639610.948
220.3,"13000389
/995411","13000389 /995411 RMC-
Slabs, M30 Grade",89.972,,CUM,RMC M30 Regular Slab Above terrace,"7,109.00",639610.948
220.3,"13000389
/995411","13000322 /995411 RMC-
Staircase at all fl",15,,CUM,RMC M30 Stair-4th floor,"7,109.00",106635
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-5th floor,"7,109.00",32751.163
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",8,,CUM,RMC M30 Stair-6th floor,"7,109.00",56872
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-7th floor,"7,109.00",32751.163
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-8th floor,"7,109.00",32751.163
220.3,"13000322
/995411","13000322 /995411 RMC-
Staircase at all fl",4.607,,CUM,RMC M30 Stair-9th floor,"7,109.00",32751.163
230,"13000322
/995411","RMC-Beams, M30 Grade",4.631,,CUM,RMC M30 Regular beam 1st floor,"7,109.00",32921.779
230.1,,"13000396 /995411 RMC-
Beams, M30 Grade",1,,AU,RMC M30 Regular beam 1st floor,"70,36,953.09",7036953.09
230.2,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",30,,CUM,RMC M30 Regular Beam 10th floor,"7,109.00",213270
230.3,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 11th floor,"7,109.00",233296.053
230.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 12th floor,"7,109.00",233296.053
230.5,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 13th floor,"7,109.00",233296.053
230.6,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 14th floor,"7,109.00",233296.053
230.7,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 15th floor,"7,109.00",233296.053
230.8,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 16th floor,"7,109.00",233296.053
230.9,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 17th floor,"7,109.00",233296.053
230.1,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 18th floor,"7,109.00",233296.053
230.1,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam terrace floor,"7,109.00",233296.053
230.1,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular beam 2nd floor,"7,109.00",233296.053
230.1,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",30,,CUM,RMC M30 Regular Beam Above terrace,"7,109.00",213270
230.1,"13000396
/995411","13000331 /995411 RMC-
OHT",10,,CUM,Bottom Slab,"7,109.00",71090
230.1,"13000331
/995411","13000331 /995411 RMC-
OHT",10,,CUM,Walls,"7,189.00",71890
230.1,"13000331
/995411","13000331 /995411 RMC-
OHT",25,,CUM,Top Slab,"7,189.00",179725
230.1,"13000331
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",10,,CUM,SDC M40 Corewall/stair wall-1st floor,"7,189.00",71890
230.1,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",6.363,,CUM,SDC M40 Corewall/stair wall-2nd floor,"8,453.00",53786.439
230.1,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",0.001,,CUM,SDC M40 Corewall/stair wall-3rd floor,"8,453.00",8.453
230.2,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",0.001,,CUM,SDC M40 Corewall/stair wall-4th floor,"8,453.00",8.453
230.2,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",0.001,,CUM,SDC M40 Corewall/stair wall-5th floor,"8,453.00",8.453
230.2,"13000424
/995411","13000424 /995411 SDC-
Core walls, M40 Gra",0.001,,CUM,SDC M40 Corewall/stair wall-6th floor,"8,453.00",8.453
230.2,"13000424
/995411","13000396 /995411 RMC-
Beams, M30 Grade",0.001,,CUM,RMC M30 Regular beam 3rd floor,"8,453.00",8.453
230.2,"13000396
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",30,,CUM,SDC M30 Corewall/stair wall-7th floor,"7,109.00",213270
230.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-8th floor,"8,053.00",170949.084
230.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-9th floor,"8,053.00",170949.084
230.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-10th floor,"8,053.00",170949.084
230.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-11th floor,"8,053.00",170949.084
230.2,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-12th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-13th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-14th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-15th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-16th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000396 /995411 RMC-
Beams, M30 Grade",21.228,,CUM,RMC M30 Regular beam 4th floor,"8,053.00",170949.084
230.3,"13000396
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",31.923,,CUM,SDC M30 Corewall/stair wall-17th floor,"7,109.00",226940.607
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-18th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000426 /995411 SDC-
Core walls, M30 Gra",21.228,,CUM,SDC M30 Corewall/stair wall-19th floor,"8,053.00",170949.084
230.3,"13000426
/995411","13000396 /995411 RMC-
Beams, M30 Grade",21.228,,CUM,RMC M30 Regular beam 5th floor,"8,053.00",170949.084
230.3,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular beam 6th floor,"7,109.00",233296.053
230.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 7th floor,"7,109.00",233296.053
230.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 8th floor,"7,109.00",233296.053
230.4,"13000396
/995411","13000396 /995411 RMC-
Beams, M30 Grade",32.817,,CUM,RMC M30 Regular Beam 9th floor,"7,109.00",233296.053
240,"13000396
/995411","SDC-Shear walls, M40
Grade",32.817,,CUM,SDC M40 RC wall-1st floor,"7,109.00",233296.053
240.1,,"13000417 /995411 SDC-
Shear walls, M40 Gr",1,,AU,SDC M40 RC wall-1st floor,"3,68,69,015.76",36869015.76
240.2,"13000417
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",0.001,,CUM,SDC M30 RC wall-10th floor,"8,474.00",8.474
240.3,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-11th floor,"8,053.00",1744215.376
240.4,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-12th floor,"8,053.00",1744215.376
240.5,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-13th floor,"8,053.00",1744215.376
240.6,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-14th floor,"8,053.00",1744215.376
240.7,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-15th floor,"8,053.00",1744215.376
240.8,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-16th floor,"8,053.00",1744215.376
240.9,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-17th floor,"8,053.00",1744215.376
240.1,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-18th floor,"8,053.00",1744215.376
240.1,"13000419
/995411","13000419 /995411 SDC-
Shear walls, M30 Gr",216.592,,CUM,SDC M30 RC wall-19th floor,"8,053.00",1744215.376
240.1,"13000419
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",125,,CUM,SDC M40 RC wall-2nd floor,"8,053.00",1006625
240.1,"13000417
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-1st floor,"8,474.00",8.474
240.1,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-2nd floor,"8,474.00",8.474
240.1,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-3rd floor,"8,474.00",8.474
240.1,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-4th floor,"8,474.00",8.474
240.1,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-5th floor,"8,474.00",8.474
240.1,"13000445
/995411","13000445 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M40 Non Structural RC wall-6th floor,"8,474.00",8.474
240.1,"13000445
/995411","13000447 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M30 Non Structural RC wall-7th floor,"8,474.00",8.474
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-8th floor,"8,053.00",128437.297
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-9th floor,"8,053.00",128437.297
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-10th floo,"8,053.00",128437.297
240.2,"13000447
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",15.994,,CUM,SDC M40 RC wall-3rd floor,"8,053.00",128799.682
240.2,"13000417
/995411","13000447 /995411 SDC-
Non Structural wall",0.001,,CUM,SDC M30 Non Structural RC wall-11th floo,"8,474.00",8.474
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.039,,CUM,SDC M30 Non Structural RC wall-12th floo,"8,053.00",129162.067
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",16.039,,CUM,SDC M30 Non Structural RC wall-13th floo,"8,053.00",129162.067
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.727,,CUM,SDC M30 Non Structural RC wall-14th floo,"8,053.00",126649.531
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-15th floo,"8,053.00",128437.297
240.2,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-16th floo,"8,053.00",128437.297
240.3,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-17th floo,"8,053.00",128437.297
240.3,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-18th floo,"8,053.00",128437.297
240.3,"13000447
/995411","13000447 /995411 SDC-
Non Structural wall",15.949,,CUM,SDC M30 Non Structural RC wall-19th floo,"8,053.00",128437.297
240.3,"13000447
/995411","13000707 /995411 RCC-
Elevation Band M30",15.949,,CUM,Elevation feature-fins/RCC band,"8,053.00",128437.297
240.3,"13000707
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",126.222,,CUM,SDC M40 RC wall-4th floor,"8,301.00",1047768.822
240.3,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-5th floor,"8,474.00",8.474
240.3,"13000417
/995411","13000417 /995411 SDC-
Shear walls, M40 Gr",0.001,,CUM,SDC M40 RC wall-6th floor,"8,474.00",8.474
