Sr.No,SAP Item ,Short Desc,QUANTITY,QUANTITY,UNIT,LONG TEXT,RATE,Amount
90.11,"13000581
/995411","13000186 /995453 CRE-
Terrace Waterproof",11,,SQM,WP- Terrace- PU waterproofing membrane,830,9130
90.12,"13000186
/995453","13000181 /995453 CRE-
UG Tank External W","13,633.00",,SQM,Waterproofing- UG sump external wall,990,13496670
90.13,"13000181
/995453","13000189 /995453 CRE-
Terrace 75mm thk p",596,,SQM,WP- Terrace-M15 screed- Tiling area,965,575140
90.14,"13000189
/995453","13000188 /995453 CRE-
Podium 75mm thk pr",625,,SQM,WP- Terrace-M15 screed-Non Tiling area,813,508125
90.15,"13000188
/995453","14000389 /995411 Clay tile
flooring","13,008.00",,SQM,Clay tile 200x200 -floor- flat Terrace,827,10757616
90.16,"14000389
/995411","14000390 /995411 Clay tile
Skirting","3,413.00",,SQM,Clay tile 200x200 -Skirting- flat Terrace,"1,172.00",4000036
90.17,"14000390
/995411","13000736 /995411 WP-
Concrete Admixture T",383,,RMT,WP- Integral admixture M30 terrace slab,251,96133
90.18,"13000736
/995411","13000734 /995411 WP-
Concrete Admixture B","2,135.00",,CUM,WP- Integral admixture M30 UG Sump,877,1872395
90.19,"13000734
/995411","13000750 /995411 WP-
Concrete Admixture S",755,,CUM,WP- Integral admixture M30 STP,877,662135
90.2,"13000750
/995411","13000734 /995411 WP-
Concrete Admixture B",672,,CUM,WP-Integral admixture M30 Rainwater sump,877,589344
90.21,"13000734
/995411","13000602 /995411 WP
Part 1 -Swimming poo",759,,CUM,WP-Treatment Pool Walls,877,665643
90.22,"13000602
/995411","13000604 /995411 WP
Part 1 -Swimming poo",240,,SQM,WP-Treatment PU Membrane- Pool,"1,698.00",407520
90.23,"13000604
/995411","13000183 /995453 CRE-
Ret Wall External",450,,SQM,Waterproofing- Retaining wall-external,"1,231.00",553950
90.24,"13000183
/995453","14000035 /995475 CRE-
50mm Screed at Sha","3,322.00",,SQM,WP-50mm screed- Pool,965,3205730
90.25,"14000035
/995475","14000229 /995411
Plastering for duct wal",450,,SQM,WP-protective plaster- Pool walls,429,193050
90.26,"14000229
/995411","13000266 /995432 Water
Proofing To Pool",96,,SQM,Waterproofing-Rain water sump-external,392,37632
90.27,"13000266
/995432","13000583 /995411
Waterproofing - Lift pi",490,,SQM,Waterproofing-Lift slab/Intnl/extnl wall,965,472850
90.28,"13000583
/995411","13000165 /995453 CRE-
UG Tank Internal W","1,452.00",,SQM,WP Treatment Sump -Walls Internal,595,863940
90.29,"13000165
/995453","13000170 /995453 CRE-
UG Tank Hzl Protec","5,031.00",,SQM,WP- Protection Screed M15-sump floor,578,2907918
90.3,"13000170
/995453","13000175 /995453 CRE-
UG Tank Vertical P","1,785.00",,SQM,WP- Protection Plaster -sump Wall Internal,429,765765
90.31,"13000175
/995453","13000746 /995411 WP-
Foodgrade epoxy coat","4,091.00",,SQM,WP- Coal tar epoxy coat-STP Internal,392,1603672
100,"13000746
/995411","CRE- Floor-Floor
Expansion Joint (200mm)","1,706.00",,SQM,Exp. joint-floor to floor,352,600512
100.1,,"13000195 /995458 CRE-
Floor-Floor Expans",1,,AU,Exp. joint-floor to floor,"1,46,43,985.00",14643985
100.2,"13000195
/995458","13000273 /995432
Polysulfide Sealant Flo",713,,RMT,Exp. joint-Water seal,"3,565.00",2541845
100.3,"13000273
/995432","13000273 /995432
Polysulfide Sealant Flo",713,,RMT,Exp. joint-Terrace Water seal,"1,725.00",1229925
100.4,"13000273
/995432","13000273 /995432
Polysulfide Sealant Flo",107,,RMT,Exp. joint-Terrace Compression seal,"1,725.00",184575
100.5,"13000273
/995432","13000274 /995432
External Joint Sealants",107,,RMT,Exp. joint-Parking floor ceiling,"2,070.00",221490
100.6,"13000274
/995432","13000548 /995411 Exp.
joint-For Terrace","1,022.00",,RMT,Exp.sion Joint-GF -terrace,"2,645.00",2703190
110,"13000548
/995411","CRE- Water swelling bars
Master flex 610","2,109.50",,RMT,Water swelling bar Masterflex 610-BASF,"3,680.00",7762960
110.1,,"13000194 /995458 CRE-
Water swelling bar",1,,AU,Water swelling bar Masterflex 610-BASF,"89,82,055.00",8982055
110.2,"13000194
/995458","13000002 /995454 CRE-
PCC 1:3:6 (M10)",400,,RMT,"Supplying and laying PCC support blocks of 1:3:6 concrete mix of sizesas given below for pipe supports on the terrace
complete.",743,297200
110.3,"13000002
/995454","13000648 /995411 MS
Puddle Flange on bot",90,,CUM,Fire tank inlet - 100mm dia,"6,974.00",627660
110.4,"13000648
/995411","13000647 /995411 MS
Puddle Flange on bot",9,,NOS,Fire tank outlet - 150mm dia,"4,435.00",39915
110.5,"13000647
/995411","13000651 /995411 MS
Puddle Flange on bot",18,,NOS,Fire & Domestic tank drain - 50mm dia,"6,491.00",116838
110.6,"13000651
/995411","13000650 /995411 MS
Puddle Flange on bot",18,,NOS,Domestic tank outlet - 65mm dia,"2,886.00",51948
110.7,"13000650
/995411","13000649 /995411 MS
Puddle Flange on bot",18,,NOS,Domestic tank outlet - 80mm dia,"3,274.00",58932
110.8,"13000649
/995411","13000649 /995411 MS
Puddle Flange on bot",36,,NOS,Domestic tank outlet - 100mm dia,"3,776.00",135936
110.9,"13000649
/995411","13000649 /995411 MS
Puddle Flange on bot",36,,NOS,Fire & Domestic tank vent - 100mm dia,"4,435.00",159660
110.1,"13000649
/995411","13000647 /995411 MS
Puddle Flange on bot",72,,NOS,Domestic tank overflow - 150mm dia,"4,435.00",319320
110.1,"13000647
/995411","13000571 /995411
G.I.Puddle Flanges",9,,NOS,Domestic tank level controller - 32mm dia,"6,491.00",58419
110.1,"13000571
/995411","13000201 /995458 CRE-
PVC coated Rungs 3",9,,EA,PVC coated steps,"2,304.00",20736
110.1,"13000201
/995458","13000650 /995411 MS
Puddle Flange on bot",603,,NOS,Flushing tank inlet - 65mm dia,533,321399
110.1,"13000650
/995411","13000651 /995411 MS
Puddle Flange on bot",9,,NOS,Flushing tank drain - 50mm dia,"3,274.00",29466
110.1,"13000651
/995411","13000648 /995411 MS
Puddle Flange on bot",18,,NOS,Flushing tank outlet - 100mm dia,"2,886.00",51948
110.1,"13000648
/995411","13000648 /995411 MS
Puddle Flange on bot",36,,NOS,Flushing tank vent - 100mm dia,"2,886.00",103896
110.1,"13000648
/995411","13000649 /995411 MS
Puddle Flange on bot",36,,NOS,Flushing tank overflow - 80mm dia,"7,987.00",287532
110.1,"13000649
/995411","13000571 /995411
G.I.Puddle Flanges",9,,NOS,Flushing tank level controller - 32mm dia,"3,776.00",33984
110.1,"13000571
/995411","13000559 /995411
Manhole covers - All si",9,,EA,CI manhole frame and cover (medium duty) with locking facility - ( 600x600 )mm,"2,304.00",20736
110.2,"13000559
/995411","13000203 /995458 CRE-
Catch Basin 600x60",108,,NOS,"Construction of catch basin of as per the required size and depth upto1200mm for basement drainage with 230mm thick walls in
well burnt tablemoulded bricks in CM 1:4 over a bed of 100 mm thick PCC 1:4:8 internalwalls plastered smooth in CM 1:3 and
exter","17,121.00",1849068
110.2,"13000203
/995458","13000573 /995411 MS
fabricated ramp drai",20,,NOS,"Supplying and installing MS fabricated ramp drain grating at entrancewhere ever indicated using 50mm nominal bore,MS pipes
at 105mm C/C and8mm thick MS flats welded together and placed on MS angles of size 65mmx65mm x 6mm as enumerated in
the drawings,","21,605.00",432100
110.2,"13000573
/995411","17000294 /995432 VENT
PIPE",10,,RMT,"Supplying, fixing & testing inlet, outlet & pipes & fittings to stormwater sump with PVC steps & RCC frame and cover which shall
be lockableas shown on the drawings etc., complete with accessories comprising ofthe following. Approximate depth. - 3.0 M.","5,198.00",51980
110.2,"17000294
/995432","12000060 /995411
Excavation over area-ha",4,,NOS,"Excavation in all kind of soils for laying sub soil drainage pipe upto160mm dia (internal) including forming bottom surface to
required levelrefilling selected excavated earth around the pipe in layers of 150mmthick watering consolidating and disposing","37,125.00",148500
110.2,"12000060
/995411","13000566 /995411 NP2
class Hume pipe",250,,CUM,"Supplying, installing, testing and commissioning of 200mm dia R.C.C NP2class Hume pipe laid to the required level and grade
with collarsjoining in CM 1:3 making necessary connections as required etc.,complete. (Provision for road crossings)",400,100000
110.2,"13000566
/995411","13000559 /995411
Manhole covers - All si",60,,RMT,CI manhole frame and cover (medium duty) with locking facility - ( 600x600 )mm,"1,215.00",72900
110.2,"13000559
/995411","17000225 /995462 Puddle
Flanges All siz",2,,NOS,Municipal Inlet - 150 mm dia,"17,145.00",34290
110.2,"17000225
/995462","17000225 /995462 Puddle
Flanges All siz",4,,NOS,Borewell Inlet - 100 mm dia,"6,491.00",25964
110.2,"17000225
/995462","17000225 /995462 Puddle
Flanges All siz",8,,NOS,Tanker Inlet - 100 mm dia,"4,435.00",35480
110.2,"17000225
/995462","17000225 /995462 Puddle
Flanges All siz",12,,NOS,2way FBIC inlet / Fire test line - 100 m dia,"4,435.00",53220
110.3,"17000225
/995462","17000225 /995462 Puddle
Flanges All siz",2,,NOS,Fire water tank 1 to Fire water tank 2 overflow - 100 mm dia,"4,435.00",8870
110.3,"17000225
/995462","17000225 /995462 Puddle
Flanges All siz",6,,NOS,Fire water tank 2 to Raw water tank overflow - 100 mm dia,"4,435.00",26610
110.3,"17000225
/995462","13000646 /995411 MS
Puddle Flange on bot",6,,NOS,200mm dia,"4,435.00",26610
110.3,"13000646
/995411","13000646 /995411 MS
Puddle Flange on bot",8,,NOS,250mm dia,"9,322.00",74576
110.3,"13000646
/995411","13000002 /995454 CRE-
PCC 1:3:6 (M10)",8,,NOS,"Providing and laying plain cement concrete of grade M10 at all levelsusing coarse graded aggregate of 20mm and down size,
fineaggregates,OPC/PPC for levelling course under footings, flooring,steps, walls, platform, for external development works and
at","10,920.00",87360
110.3,"13000002
/995454","13000651 /995411 MS
Puddle Flange on bot",50,,CUM,"Fire tanks , Raw water tank , Treated water tank & Roof drain pipe - 50mm dia","5,759.00",287950
110.3,"13000651
/995411","13000652 /995411 MS
Puddle Flange on one",12,,NOS,"Fire tanks , Raw water tank , Treated water tank & Roof water tank ventpipe- 100 mm dia","2,886.00",34632
110.3,"13000652
/995411","13000571 /995411
G.I.Puddle Flanges",24,,NOS,"Fire tanks , Raw water tank , Treated water tank & Roof water tanklevel controller - 32 mm dia","7,987.00",191688
110.3,"13000571
/995411","13000648 /995411 MS
Puddle Flange on bot",10,,EA,Raw water tank & Treated water tank overflow pipe - 100 mm dia,"2,304.00",23040
110.3,"13000648
/995411","13000647 /995411 MS
Puddle Flange on bot",16,,NOS,Raw water tank outlet - 150 mm dia,"4,435.00",70960
