"Block","Tower","Floor","Total RFIs","Pending RFIs","Partial Approvals","Approved RFIs","Rejected RFIs","Completion %"
"3","H3","1","1","1","1","0","0","0%"
"4","H","1","2","2","2","0","0","0%"
